LocationID,Borough,Zone,X,Y
1,EWR,Newark Airport,935223.0266,190535.0526
2,Queens,Jamaica Bay,1032515.672,167292.4932
3,Bronx,Allerton/Pelham Gardens,1025882.735,254779.6006
4,Manhattan,Alphabet City,990618.7951,203105.5323
5,Staten Island,Arden Heights,931467.9628,139837.4784
6,Staten Island,Arrochar/Fort Wadsworth,965428.9907,157538.1873
7,Queens,Astoria,1005999.211,216570.1602
8,Queens,Astoria Park,1005519.389,222953.6698
9,Queens,Auburndale,1042979.892,214199.9913
10,Queens,Baisley Park,1042036.075,186404.2457
11,Brooklyn,Bath Beach,981302.2496,159321.9404
12,Manhattan,Battery Park,979954.989,195212.3219
13,Manhattan,Battery Park City,979781.1033,198536.3805
14,Brooklyn,Bay Ridge,975797.9399,166466.4165
15,Queens,Bay Terrace/Fort Totten,1042966.344,225424.58
16,Queens,Bayside,1047503.935,216688.0688
17,Brooklyn,Bedford,998342.7423,191392.6395
18,Bronx,Bedford Park,1015524.983,255811.6162
19,Queens,Bellerose,1059665.197,207710.5081
20,Bronx,Belmont,1015775.56,251807.9383
21,Brooklyn,Bensonhurst East,989442.568,158619.632
22,Brooklyn,Bensonhurst West,985833.472,161380.1201
23,Staten Island,Bloomfield/Emerson Hill,939978.1196,160646.8523
24,Manhattan,Bloomingdale,993782.5748,231481.0489
25,Brooklyn,Boerum Hill,988005.4733,189064.6011
26,Brooklyn,Borough Park,987147.7987,168296.9402
27,Queens,Breezy Point/Fort Tilden/Riis Beach,1009318.866,142929.9855
28,Queens,Briarwood/Jamaica Hills,1037665.211,198318.0765
29,Brooklyn,Brighton Beach,995199.7664,151388.4311
30,Queens,Broad Channel,1034204.644,159698.9392
31,Bronx,Bronx Park,1018627.22,252594.2001
32,Bronx,Bronxdale,1021694.52,254249.6344
33,Brooklyn,Brooklyn Heights,985545.3081,192934.8845
34,Brooklyn,Brooklyn Navy Yard,993206.1127,195239.324
35,Brooklyn,Brownsville,1008530.375,181132.3401
36,Brooklyn,Bushwick North,1007385.523,193982.9001
37,Brooklyn,Bushwick South,1004784.246,192954.1407
38,Queens,Cambria Heights,1057584.3,191973.4128
39,Brooklyn,Canarsie,1012066.256,172053.1118
40,Brooklyn,Carroll Gardens,985409.9396,186473.8264
41,Manhattan,Central Harlem,997520.5889,232274.1626
42,Manhattan,Central Harlem North,1000990.471,238412.2291
43,Manhattan,Central Park,993784.3667,224349.9169
44,Staten Island,Charleston/Tottenville,920436.3369,131469.1414
45,Manhattan,Chinatown,984734.4197,199062.7027
46,Bronx,City Island,1043322.207,248116.4989
47,Bronx,Claremont/Bathgate,1012767.08,247425.531
48,Manhattan,Clinton East,987059.9306,216980.2975
49,Brooklyn,Clinton Hill,993974.8786,190123.2803
50,Manhattan,Clinton West,985939.8863,218603.5227
51,Bronx,Co-Op City,1031147.48,257767.3374
52,Brooklyn,Cobble Hill,985103.5111,189424.9943
