zone_id,borough,zone,x,y,shape_length,shape_area
1,EWR,Newark Airport,-74.17678575,40.68951565,0.116357453,0.000782307
2,Queens,Jamaica Bay,-73.82612577,40.62572424,0.433469667,0.00486634
3,Bronx,Allerton/Pelham Gardens,-73.84947892,40.86588754,0.084341106,0.000314414
4,Manhattan,Alphabet City,-73.97702292,40.72415214,0.043566527,0.000111872
5,Staten Island,Arden Heights,-74.18992967,40.55034012,0.09214649,0.000497957
6,Staten Island,Arrochar/Fort Wadsworth,-74.06777446,40.59906217,0.150490543,0.000606461
7,Queens,Astoria,-73.92149057,40.76108473,0.107417171,0.000389788
8,Queens,Astoria Park,-73.92320241,40.77860696,0.027590691,2.66E-05
9,Queens,Auburndale,-73.78802025,40.75441093,0.099784092,0.000338444
10,Queens,Baisley Park,-73.79166546,40.6781247,0.099839479,0.000435824
11,Brooklyn,Bath Beach,-74.01061563,40.60397771,0.079211039,0.000264521
12,Manhattan,Battery Park,-74.01549033,40.70248841,0.036661301,4.15E-05
13,Manhattan,Battery Park City,-74.01611967,40.71161208,0.050281323,0.000149359
14,Brooklyn,Bay Ridge,-74.03044705,40.62358428,0.175213698,0.001381778
15,Queens,Bay Terrace/Fort Totten,-73.78797108,40.7852195,0.144336223,0.000925219
16,Queens,Bayside,-73.77166782,40.76120883,0.141291874,0.000871889
17,Brooklyn,Bedford,-73.9491813,40.6919941,0.093522633,0.000322958
18,Bronx,Bedford Park,-73.88692199,40.86876288,0.06979955,0.00014885
19,Queens,Bellerose,-73.7278694,40.73647244,0.101824875,0.000546661
20,Bronx,Belmont,-73.88603484,40.85777311,0.051440192,0.000134513
21,Brooklyn,Bensonhurst East,-73.98130073,40.60204898,0.115973569,0.000380251
22,Brooklyn,Bensonhurst West,-73.99429702,40.60962734,0.126170229,0.000472063
23,Staten Island,Bloomfield/Emerson Hill,-74.15944329,40.60750422,0.290556029,0.002195566
24,Manhattan,Bloomingdale,-73.96556853,40.80203277,0.046999962,6.07E-05
25,Brooklyn,Boerum Hill,-73.98645899,40.68561459,0.04714582,0.000124168
26,Brooklyn,Borough Park,-73.98956041,40.62861224,0.123547807,0.00053404
27,Queens,Breezy Point/Fort Tilden/Riis Beach,-73.9097812,40.55895009,0.202508809,0.001340888
28,Queens,Briarwood/Jamaica Hills,-73.80732908,40.71085278,0.097960782,0.000291204
