do_neiborhood,pu_neiborhood,avg_dist,avg_duration
Alphabet City,Alphabet City,0.71,4.9
Alphabet City,Battery Park City,4.615,13.208333333333334
Alphabet City,East Chelsea,2.4833333333333334,14.772222222222222
Alphabet City,East Harlem North,7.02,30.533333333333335
Alphabet City,East Harlem South,6.95,26.15
Alphabet City,East Village,0.8875,5.8525
Alphabet City,East Williamsburg,3.1,12.166666666666666
Alphabet City,Financial District North,2.89,12.108333333333334
Alphabet City,Financial District South,3.2,9.583333333333334
Alphabet City,Flatiron,1.9125,16.141666666666666
Alphabet City,Garment District,2.91,16.95
Alphabet City,Gramercy,1.4137499999999998,8.247916666666667
Alphabet City,Greenwich Village North,1.192,9.893333333333333
Alphabet City,Greenwich Village South,1.18125,8.10625
Alphabet City,JFK Airport,18.6,42.416666666666664
Alphabet City,Kips Bay,1.69,13.708333333333334
Alphabet City,Lincoln Square East,5.01,24.383333333333333
Alphabet City,Lincoln Square West,5.19,36.18333333333333
Alphabet City,Little Italy/NoLiTa,1.26,9.920833333333334
Alphabet City,Lower East Side,1.1300000000000001,7.445833333333333
Alphabet City,Midtown North,3.7,34.608333333333334
Alphabet City,Midtown South,2.356666666666667,14.922222222222222
Alphabet City,Morningside Heights,7.35,38.46666666666667
Alphabet City,Murray Hill,2.375,16.904166666666665
Alphabet City,Park Slope,5.8,25.65
Alphabet City,Penn Station/Madison Sq West,3.0625,20.695833333333333
Alphabet City,Seaport,2.3,10.733333333333333
Alphabet City,SoHo,1.8,14.283333333333333
Alphabet City,Stuy Town/Peter Cooper Village,1.43,7.283333333333333
Alphabet City,Sutton Place/Turtle Bay North,2.96,15.166666666666666
Alphabet City,Times Sq/Theatre District,3.5933333333333337,25.144444444444446
Alphabet City,TriBeCa/Civic Center,2.39,11.033333333333333
Alphabet City,Two Bridges/Seward Park,0.65,5.341666666666667
Alphabet City,UN/Turtle Bay South,2,19.5
Alphabet City,Union Sq,1.9133333333333333,13.636111111111111
Alphabet City,Upper East Side South,3,26.233333333333334
Alphabet City,West Village,1.7375,16.741666666666667
Alphabet City,Yorkville West,4.3,19.25
Battery Park,Battery Park City,0.9466666666666667,5.916666666666667
Battery Park,Bloomingdale,8.24,31.166666666666668
Battery Park,Clinton East,4.8,20.616666666666667
Battery Park,East Chelsea,3.46,25.133333333333333
Battery Park,Garment District,4.85,27.508333333333333
Battery Park,Times Sq/Theatre District,5.3,30.816666666666666
Battery Park,TriBeCa/Civic Center,1,4.95
Battery Park,West Chelsea/Hudson Yards,3.6,16.5
Battery Park,World Trade Center,0.265,1.975
Battery Park City,Battery Park City,0.35375,2.95625
Battery Park City,Boerum Hill,3.6,11.366666666666667
Battery Park City,Brooklyn Heights,2.8,19.45
Battery Park City,Central Harlem North,9.08,32.93333333333333
Battery Park City,Chinatown,1.88,8.433333333333334
Battery Park City,Clinton East,4.38,20.08809523809524
Battery Park City,Clinton West,3.56,18.666666666666668
Battery Park City,DUMBO/Vinegar Hill,3.4,17.083333333333332
Battery Park City,East Chelsea,3.385,19.605555555555554
Battery Park City,East Harlem South,8.7,42.416666666666664
Battery Park City,East Village,3.1766666666666667,16.694444444444443
Battery Park City,Financial District North,1.3781818181818182,9.687878787878788
Battery Park City,Financial District South,1.3519999999999999,8.483333333333334
Battery Park City,Flatiron,2.872,15.26
Battery Park City,Fort Greene,4.96,25.866666666666667
Battery Park City,Garment District,4.955,20.483333333333334
Battery Park City,Gramercy,3.5250000000000004,23.191666666666666
Battery Park City,Greenpoint,8.5,35.31666666666667
Battery Park City,Greenwich Village North,2.482,17.653333333333332
Battery Park City,Greenwich Village South,2.2525,15.989583333333334
Battery Park City,Hudson Sq,1.6133333333333333,10.555555555555555
Battery Park City,JFK Airport,23.046,45.17666666666667
Battery Park City,Kips Bay,5.51,23.233333333333334
Battery Park City,LaGuardia Airport,14.698571428571428,38.733333333333334
Battery Park City,Lenox Hill East,7.506,23.326666666666668
Battery Park City,Lenox Hill West,7.609999999999999,23.375
Battery Park City,Lincoln Square East,5.266666666666667,22.522222222222222
Battery Park City,Lincoln Square West,4.933333333333333,20.044444444444444
Battery Park City,Little Italy/NoLiTa,1.655,10.945833333333333
Battery Park City,Lower East Side,3.37,14.294444444444444
Battery Park City,Manhattan Valley,7.26,34.61666666666667
Battery Park City,Meatpacking/West Village West,1.6628571428571428,9.695238095238095
Battery Park City,Midtown Center,5.046666666666667,25.544444444444444
Battery Park City,Midtown East,6.087,27.263333333333332
Battery Park City,Midtown North,4.94,24.233333333333334
Battery Park City,Midtown South,3.925,24.733333333333334
Battery Park City,Midwood,9.5,47.916666666666664
Battery Park City,Morningside Heights,7.59,32.35
Battery Park City,Murray Hill,4.8225,21.579166666666666
Battery Park City,Penn Station/Madison Sq West,3.58875,17.08125
Battery Park City,SoHo,1.688,12.276666666666667
Battery Park City,Sutton Place/Turtle Bay North,7.38,20.983333333333334
Battery Park City,Times Sq/Theatre District,4.841666666666667,24.3625
Battery Park City,TriBeCa/Civic Center,0.9057142857142857,7.46547619047619
Battery Park City,UN/Turtle Bay South,6.243333333333333,23.477777777777778
Battery Park City,Union Sq,3.7615384615384615,20.315384615384616
Battery Park City,Upper East Side North,6.82,48.2
Battery Park City,Upper East Side South,7.05,31.744444444444444
Battery Park City,Upper West Side North,6.25,31.633333333333333
Battery Park City,Upper West Side South,5.926666666666667,20.12777777777778
Battery Park City,West Chelsea/Hudson Yards,3.23,17.814285714285713
Battery Park City,West Village,2.0492307692307694,10.621794871794872
Battery Park City,Williamsbridge/Olinville,19.64,83.9
Battery Park City,World Trade Center,0.65,7.716666666666667
Battery Park City,Yorkville East,8.076666666666666,20.6
Battery Park City,Yorkville West,8.33,26.6
Bloomingdale,Bloomingdale,0.578,2.533333333333333
Bloomingdale,Central Harlem,1.1436363636363636,7.837878787878788
Bloomingdale,Central Harlem North,2.024,13.403333333333334
Bloomingdale,Central Park,1.95,11.658333333333333
Bloomingdale,Clinton East,3.5,16.78888888888889
Bloomingdale,Clinton Hill,12.22,45.7
Bloomingdale,Clinton West,2.85,20.5
Bloomingdale,East Chelsea,4.3,24.53333333333333
Bloomingdale,East Harlem North,1.87,11.7
Bloomingdale,East Harlem South,1.687142857142857,10.573809523809524
Bloomingdale,Flatiron,5.0425,22.145833333333336
Bloomingdale,Greenwich Village North,6.04,20.683333333333334
Bloomingdale,Greenwich Village South,6.99,29.466666666666665
Bloomingdale,Hamilton Heights,2.415,9.35
Bloomingdale,Hudson Sq,6.84,21.183333333333334
Bloomingdale,JFK Airport,19.8,71.28333333333333
Bloomingdale,Kips Bay,5,28.233333333333334
Bloomingdale,Lenox Hill East,3.6,21.283333333333335
Bloomingdale,Lincoln Square East,2.2222222222222223,9.579629629629629
Bloomingdale,Lincoln Square West,2.21,14.152777777777779
Bloomingdale,Manhattan Valley,0.66,3.8
Bloomingdale,Midtown East,3.955,23.1
Bloomingdale,Midtown North,3.6,22.05
Bloomingdale,Midtown South,4.43,15.133333333333333
Bloomingdale,Morningside Heights,0.8136363636363636,5.233333333333333
Bloomingdale,Murray Hill,4.875,35.43333333333334
Bloomingdale,Penn Station/Madison Sq West,3.7,25.1
Bloomingdale,Times Sq/Theatre District,3.8,18.166666666666664
Bloomingdale,TriBeCa/Civic Center,7.215,26.166666666666664
Bloomingdale,Union Sq,5.2,18.9
Bloomingdale,Upper East Side North,1.9225,9.3625
Bloomingdale,Upper East Side South,3.164,18.183333333333334
Bloomingdale,Upper West Side North,0.9846666666666667,5.431111111111111
